cycle,timestamp,state,x,y,speed,heading,FL,FR,BL,BR,hazard_score,ttc,collision,total_collisions
84,8.440974473953247,CRUISE,19.5,10.0,3.5,0.0,9.272440012419528,10.0,9.428696549067464,4.7160673290108175,0.0,2.649268574977008,0,0
85,8.541608095169067,CRUISE,19.5,10.0,3.5,0.0,9.646574873382782,9.439343299976473,9.028831176392767,4.4795875161533925,0.0,2.6969552285647067,0,0
86,8.641912698745728,CRUISE,19.5,10.0,3.5,0.0,9.547666284640975,10.0,9.651252414946248,4.693464507832854,0.0,2.7279046527545643,0,0
87,8.742165565490723,CRUISE,19.5,10.0,3.5,0.0,8.969925290235523,9.91864750761722,9.127747497761922,4.85869003117061,0.0,2.562835797210149,0,0
88,8.842348337173462,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,9.053827320616184,4.34238255646477,0.0,2.857142857142857,0,0
89,8.943155527114868,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,9.384413166083512,4.633566643144383,0.0,2.857142857142857,0,0
90,9.04322624206543,CRUISE,19.5,10.0,3.5,0.0,9.69170448903486,10.0,9.487394761928483,4.825987780554967,0.0,2.7690584254385313,0,0
91,9.150286436080933,CRUISE,19.5,10.0,3.5,0.0,10.0,9.606894970472355,9.881135254651916,4.92736684215589,0.0,2.744827134420673,0,0
92,9.250993490219116,CRUISE,19.5,10.0,3.5,0.0,10.0,9.949142860177815,9.001202322047801,4.074111489091478,0.0,2.84261224576509,0,0
93,9.351604700088501,CRUISE,19.5,10.0,3.5,0.0,9.794187246352719,9.829757076846963,9.625781792776433,4.185755597918282,0.0,2.7983392132436338,0,0
94,9.451911926269531,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,9.066426670561682,4.535296813940799,0.0,2.857142857142857,0,0
95,9.552114725112915,CRUISE,19.5,10.0,3.5,0.0,9.794323802984476,10.0,8.551075793211929,4.386135556141042,0.0,2.7983782294241357,0,0
96,9.652427434921265,CRUISE,19.5,10.0,3.5,0.0,10.0,9.848027352991334,9.805699086578468,4.406233569329302,0.0,2.8137221008546667,0,0
97,9.753050804138184,CRUISE,19.5,10.0,3.5,0.0,9.947011769896601,10.0,9.734531806566384,4.718801300674216,0.0,2.8420033628276005,0,0
98,9.854911088943481,CRUISE,19.5,10.0,3.5,0.0,9.55018184098682,10.0,9.291795410809335,4.540551695116447,0.0,2.7286233831390914,0,0
99,9.955407619476318,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,8.340448952807476,4.441644671691128,0.0,2.857142857142857,0,0
